# _tick,_time,frames,mean_episode_return_0,loss_0
0,1760607994.787585,0,-0.7236202955245972,0.94306480884552
1,1760607995.1335917,3200,-0.7583447694778442,0.49323368072509766
2,1760607995.8584354,6400,-0.7672738432884216,0.7797368764877319
3,1760607996.4800582,9600,-0.738623321056366,0.5239755511283875
4,1760607997.2369661,12800,-0.6317872405052185,1.2645343542099
5,1760607997.7520008,16000,-0.559644877910614,0.9243011474609375
6,1760607998.443117,19200,-0.5101413130760193,0.9093520641326904
7,1760607999.1725264,22400,-0.46535107493400574,0.9194319248199463
8,1760607999.9648428,25600,-0.43385690450668335,0.8889459371566772
9,1760608000.5861993,28800,-0.40931135416030884,0.8757013082504272
10,1760608001.2455366,32000,-0.38946330547332764,0.8519837260246277
11,1760608002.113247,35200,-0.37420758605003357,0.874172568321228
12,1760608002.7932303,38400,-0.3607191741466522,0.8837758898735046
13,1760608003.4925356,41600,-0.34810373187065125,0.8463263511657715
14,1760608004.084596,44800,-0.33752134442329407,0.8398704528808594
15,1760608004.9832227,48000,-0.3266853094100952,0.8444117903709412
16,1760608005.7190757,51200,-0.31810516119003296,0.8849419951438904
17,1760608006.4974682,54400,-0.3116031587123871,0.8311681151390076
18,1760608007.3131087,57600,-0.30352383852005005,0.8184340596199036
19,1760608007.8589973,60800,-0.29650092124938965,0.8107885718345642
20,1760608008.4430733,64000,-0.28890642523765564,0.8176518082618713
21,1760608009.0070848,67200,-0.28538674116134644,0.8282513618469238
22,1760608009.8123925,70400,-0.2792815864086151,0.8309072852134705
23,1760608010.5230134,73600,-0.27477142214775085,0.8042425513267517
24,1760608011.059091,76800,-0.2677406966686249,0.8201489448547363
25,1760608011.7152765,80000,-0.26319044828414917,0.800597608089447
26,1760608012.4469156,83200,-0.2573613226413727,0.7945533990859985
27,1760608012.479085,86400,-0.2527093291282654,0.816432774066925
28,1760608013.1298199,89600,-0.2511391043663025,0.8956508636474609
29,1760608013.8585112,92800,-0.24736949801445007,0.887826144695282
30,1760608014.5123901,96000,-0.24323837459087372,0.8285408020019531
31,1760608015.3821397,99200,-0.23959103226661682,0.837179958820343
32,1760608016.176887,102400,-0.23538149893283844,0.8493251204490662
33,1760608016.8924787,105600,-0.23211443424224854,0.8492477536201477
34,1760608017.5954697,108800,-0.22877496480941772,0.842993974685669
35,1760608018.2382073,112000,-0.22642673552036285,0.8513068556785583
36,1760608018.9156406,115200,-0.22261454164981842,0.8620510697364807
37,1760608019.5816388,118400,-0.21892321109771729,0.8528794646263123
38,1760608020.1586633,121600,-0.21534977853298187,0.845364511013031
39,1760608020.8211217,124800,-0.21253354847431183,0.8425238728523254
40,1760608021.5059643,128000,-0.20951735973358154,0.815025269985199
41,1760608022.1167314,131200,-0.2057865709066391,0.831928551197052
42,1760608022.7122047,134400,-0.2025669664144516,0.8280863165855408
43,1760608023.4767275,137600,-0.200112447142601,0.8192837238311768
44,1760608024.10983,140800,-0.19920313358306885,0.8656742572784424
45,1760608024.8361628,144000,-0.19658254086971283,0.845457136631012
46,1760608025.5562975,147200,-0.1948828250169754,0.8204171061515808
47,1760608026.1700304,150400,-0.1932884305715561,0.8213376402854919
48,1760608026.9370472,153600,-0.19062404334545135,0.8282582759857178
49,1760608027.571916,156800,-0.18887358903884888,0.8446946740150452
50,1760608028.2430902,160000,-0.19167223572731018,0.9334768652915955
51,1760608029.0090046,163200,-0.1902775913476944,0.8838908672332764
52,1760608029.5807102,166400,-0.18858401477336884,0.8534660935401917
53,1760608030.3053896,169600,-0.18647347390651703,0.8343192934989929
54,1760608030.9950151,172800,-0.18482765555381775,0.8322752118110657
55,1760608031.732093,176000,-0.1823907196521759,0.8191421031951904
56,1760608032.448695,179200,-0.18114976584911346,0.8290347456932068
57,1760608033.230134,182400,-0.17928186058998108,0.8618728518486023
58,1760608033.918793,185600,-0.17764705419540405,0.8363492488861084
59,1760608034.5854676,188800,-0.17630615830421448,0.8171015381813049
60,1760608035.1566844,192000,-0.1751018911600113,0.823557436466217
61,1760608035.7589183,195200,-0.17401042580604553,0.8193321824073792
62,1760608036.324337,198400,-0.1725487858057022,0.8245132565498352
63,1760608036.992004,201600,-0.17103701829910278,0.8072528839111328
64,1760608037.9558632,204800,-0.17007382214069366,0.8033653497695923
65,1760608038.6246898,208000,-0.1689305454492569,0.797890841960907
66,1760608039.4742444,211200,-0.1679772585630417,0.8234147429466248
67,1760608040.0129485,214400,-0.16692467033863068,0.8150570392608643
68,1760608040.7199724,217600,-0.16653187572956085,0.8203827738761902
69,1760608041.404663,220800,-0.1648319512605667,0.8181126117706299
70,1760608042.0930483,224000,-0.16422250866889954,0.8487101197242737
71,1760608042.7557225,227200,-0.16330833733081818,0.8274291157722473
72,1760608043.3732517,230400,-0.16265884041786194,0.8167996406555176
73,1760608044.0485897,233600,-0.1614103764295578,0.8243687152862549
74,1760608044.0160651,236800,-0.16051365435123444,0.8260680437088013
75,1760608044.6793036,240000,-0.15924374759197235,0.8288320302963257
76,1760608045.3528233,243200,-0.15883544087409973,0.837419867515564
77,1760608046.1019433,246400,-0.15789590775966644,0.8051378130912781
78,1760608046.8384578,249600,-0.15693879127502441,0.8316672444343567
79,1760608047.5326009,252800,-0.1562551110982895,0.8310850262641907
80,1760608048.2152734,256000,-0.1564628928899765,0.850318431854248
81,1760608048.8195157,259200,-0.15559478104114532,0.8312103152275085
82,1760608049.4490066,262400,-0.15468032658100128,0.8264297246932983
83,1760608050.076046,265600,-0.15371499955654144,0.7931538224220276
84,1760608050.7828262,268800,-0.15277637541294098,0.8144053816795349
85,1760608051.4407127,272000,-0.15215329825878143,0.8180349469184875
86,1760608052.0075002,275200,-0.1512848138809204,0.8201446533203125
87,1760608052.7979019,278400,-0.15027980506420135,0.7979219555854797
88,1760608053.2983732,281600,-0.1498742699623108,0.793613612651825
