# _tick,_time,frames,mean_episode_return_0,loss_0
0,1760607107.9927423,0,-0.41794872283935547,0.9474179744720459
1,1760607125.1205864,3200,-0.6586634516716003,0.2597794830799103
2,1760607140.8746727,6400,-0.6596789956092834,0.8121508955955505
3,1760607157.3377185,9600,-0.7350931167602539,0.19264529645442963
4,1760607174.0008788,12800,-0.7084864377975464,1.3964730501174927
5,1760607196.0682228,16000,-0.6213069558143616,0.9569447040557861
6,1760607212.8449316,19200,-0.5577167272567749,0.9331555366516113
7,1760607231.4301918,22400,-0.5101661086082458,0.9100223779678345
8,1760607248.756949,25600,-0.4650992751121521,0.9070963859558105
9,1760607268.4596257,28800,-0.43690475821495056,0.8902296423912048
10,1760607284.7199237,32000,-0.4277234971523285,0.754874050617218
11,1760607302.3525596,35200,-0.4476053714752197,0.4101307988166809
12,1760607319.9305627,38400,-0.4675629734992981,0.356393039226532
13,1760607343.2348678,41600,-0.4558607041835785,0.796134889125824
14,1760607361.875212,44800,-0.43774792551994324,0.8421182036399841
15,1760607382.5485396,48000,-0.4222029447555542,0.8382375836372375
16,1760607401.906343,51200,-0.40836670994758606,0.8181887269020081
17,1760607420.1479104,54400,-0.39667919278144836,0.8260108828544617
18,1760607437.694758,57600,-0.3995172679424286,0.5526770949363708
19,1760607456.8959832,60800,-0.4107716977596283,0.34987083077430725
20,1760607474.0318537,64000,-0.3975946307182312,1.0287063121795654
# _tick,_time,frames,mean_episode_return_0,loss_0
0,1760607979.0255613,0,-0.761171817779541,0.9273475408554077
1,1760607979.4778743,3200,-0.5942988395690918,0.8984709978103638
2,1760607980.2631278,6400,-0.4557977020740509,0.9245331287384033
3,1760607980.3704946,9600,-0.395358145236969,0.8874125480651855
4,1760607981.1186867,12800,-0.35517019033432007,0.8616669178009033
5,1760607981.7290816,16000,-0.33189377188682556,0.8451107740402222
6,1760607982.564713,19200,-0.30812257528305054,0.924411952495575
7,1760607983.4197013,22400,-0.29177629947662354,0.9012091755867004
8,1760607984.078014,25600,-0.2775919437408447,0.8888363838195801
