episode,avg_reward,rolling_winrate
10000,-0.1574,38.74
20000,-0.1141,40.760000000000005
30000,-0.1194,40.32
40000,-0.1247,40.02
50000,-0.0855,41.64
60000,-0.1025,40.89
70000,-0.0889,41.730000000000004
80000,-0.1073,40.53
90000,-0.1094,40.47
100000,-0.091,41.24
110000,-0.086,41.49
120000,-0.1074,40.46
130000,-0.0817,41.77
140000,-0.0953,41.13
150000,-0.0848,41.8
160000,-0.0852,41.63
170000,-0.0822,41.93
180000,-0.0931,41.3
190000,-0.1061,40.5
200000,-0.0772,42.0
210000,-0.0916,41.120000000000005
220000,-0.0919,41.449999999999996
230000,-0.0903,41.089999999999996
240000,-0.087,41.449999999999996
250000,-0.1007,40.43
260000,-0.0973,40.96
270000,-0.0965,40.89
280000,-0.0906,41.24
290000,-0.0865,41.56
300000,-0.0952,41.11
310000,-0.086,41.61
320000,-0.0855,41.53
330000,-0.0887,41.53
340000,-0.078,42.08
350000,-0.0886,41.370000000000005
360000,-0.0657,42.49
370000,-0.0797,41.67
380000,-0.08,41.38
390000,-0.0721,42.24
400000,-0.0908,41.47
410000,-0.0839,41.56
420000,-0.0716,42.32
430000,-0.099,40.81
440000,-0.0874,41.44
450000,-0.07,42.120000000000005
460000,-0.079,42.13
470000,-0.0762,42.01
480000,-0.079,42.1
490000,-0.0802,41.94
500000,-0.0918,41.44
510000,-0.0884,41.410000000000004
520000,-0.0907,41.36
530000,-0.0912,41.339999999999996
540000,-0.0803,41.88
550000,-0.0949,41.3
560000,-0.0868,41.370000000000005
570000,-0.08,41.510000000000005
580000,-0.0827,41.54
590000,-0.0711,42.34
600000,-0.0786,41.79
610000,-0.0756,42.1
620000,-0.083,41.55
630000,-0.0825,41.760000000000005
640000,-0.0996,40.9
650000,-0.0767,42.04
660000,-0.0916,40.910000000000004
670000,-0.0791,41.730000000000004
680000,-0.0939,40.96
690000,-0.0977,41.04
700000,-0.0826,41.699999999999996
710000,-0.0878,41.42
720000,-0.0804,41.9
730000,-0.0617,42.96
740000,-0.0576,43.120000000000005
750000,-0.092,41.199999999999996
760000,-0.0664,42.51
770000,-0.098,40.87
780000,-0.0913,41.42
790000,-0.0912,41.449999999999996
800000,-0.0806,41.79
810000,-0.0863,41.65
820000,-0.0856,41.81
830000,-0.0856,41.660000000000004
840000,-0.0866,41.27
850000,-0.0845,41.56
860000,-0.0886,41.58
870000,-0.083,42.08
880000,-0.0957,41.04
890000,-0.0587,42.82
900000,-0.0923,41.17
910000,-0.0794,41.760000000000005
920000,-0.0811,41.980000000000004
930000,-0.0725,42.089999999999996
940000,-0.0863,41.52
950000,-0.0732,41.97
960000,-0.0741,42.14
970000,-0.0795,41.78
980000,-0.0648,42.53
990000,-0.0753,42.05
1000000,-0.0931,41.17
